maimai DX 歌曲别名收集计划（@AkihaBot 版）,,,,,,,,,,,,,,,,,,,,,,,,,
"编辑指南请移步左下角「表格编辑指南」，
务必阅读完毕之后再申请编辑！",,,,,,,,,,,,,,,,,,,,,,,,,
ID,歌名,别名1,别名2,别名3,别名4,别名5,别名6,别名7,别名8,别名9,别名10,别名11,别名12,别名13,别名14,别名15,别名16,...,,,,,,,上限 24
8,True Love Song,真爱歌,,,,,,,,,,,,,,,,,,,,,,,
9,Color My World,,,,,,,,,,,,,,,,,,,,,,,,
17,Future,未来,星星歌,,,,,,,,,,,,,,,,,,,,,,
18,Love You,爱你,,,,,,,,,,,,,,,,,,,,,,,
21,コネクト,,,,,,,,,,,,,,,,,,,,,,,,
22,In Chaos,阴超市,超市,在超市,阴间超市,,,,,,,,,,,,,,,,,,,,
23,Crush On You,coy,COU,,,,,,,,,,,,,,,,,,,,,,
24,Sun Dance,阳舞,太阳舞,日跳舞,日舞,,,,,,,,,,,,,,,,,,,,
25,Sweets×Sweets,小甜甜,,,,,,,,,,,,,,,,,,,,,,,
27,Love or Lies,,,,,,,,,,,,,,,,,,,,,,,,
30,ネコ日和。,猫日和,猫天气,猫,,,,,,,,,,,,,,,,,,,,,
31,虹と太陽,虹太阳,虹与太阳,,,,,,,,,,,,,,,,,,,,,,
35,炭★坑★節,炭坑节,光★吉★猛★修,,,,,,,,,,,,,,,,,,,,,,
38,NIGHT OF FIRE,夜火,逮虾户,,,,,,,,,,,,,,,,,,,,,,
40,come again,再来一遍,,,,,,,,,,,,,,,,,,,,,,,
42,jelly,中田女士,,,,,,,,,,,,,,,,,,,,,,,
44,ハッピーシンセサイザ,,,,,,,,,,,,,,,,,,,,,,,,
46,ルカルカ★ナイトフィーバー,luka,来一发,rukarukanightfever,rukaruka,,,,,,,,,,,,,,,,,,,,
47,源平大戦絵巻テーマソング,源平,源平1,源平大战,,,,,,,,,,,,,,,,,,,,,
53,美しく燃える森,美燃森,美丽燃烧的森林,,,,,,,,,,,,,,,,,,,,,,
56,ウッーウッーウマウマ(ﾟ∀ﾟ),扭腰歌,caramelldansen,,,,,,,,,,,,,,,,,,,,,,
58,Endless World,无尽世界,ew,,,,,,,,,,,,,,,,,,,,,,
61,Beat Of Mind,bom,nmb的mai,你妈逼的麦,,,,,,,,,,,,,,,,,,,,,
62,檄！帝国華撃団(改),滑稽团,帝国华击团,帝国滑稽团,屑团,改,,,,,,,,,,,,,,,,,,,
63,メランコリック,忧郁的心情,,,,,,,,,,,,,,,,,,,,,,,
64,教えて!! 魔法のLyric,教教,,,,,,,,,,,,,,,,,,,,,,,
65,ZIGG-ZAGG,拉链,,,,,,,,,,,,,,,,,,,,,,,
66,ワールズエンド・ダンスホール,末世舞厅,世末舞厅,世界终末舞厅,world's end dancehall,,,,,,,,,,,,,,,,,,,,
67,パンダヒーロー,panda hero,熊猫英雄,,,,,,,,,,,,,,,,,,,,,,
68,オレンジの夏,橙色夏天,橙夏,,,,,,,,,,,,,,,,,,,,,,
69,BaBan!! －甘い罠－,,,,,,,,,,,,,,,,,,,,,,,,
70,ジングルベル,圣诞歌,鸡公煲,圣诞,吵死了,Jingle Bell,,,,,,,,,,,,,,,,,,,
71,マトリョシカ,俄罗斯套娃,套娃,,,,,,,,,,,,,,,,,,,,,,
73,メグメグ☆ファイアーエンドレスナイト,Meg Meg Fire Endless Night,,,,,,,,,,,,,,,,,,,,,,,
75,天国と地獄,天国地狱,天国,,,,,,,,,,,,,,,,,,,,,,
76,きみのためなら死ねる,为了你而死,为你而死,,,,,,,,,,,,,,,,,,,,,,
77,怪盗Rのテーマ,怪盗R的影之诗,怪盗R,,,,,,,,,,,,,,,,,,,,,,
78,マリアをはげませ,秃头玛丽亚,,,,,,,,,,,,,,,,,,,,,,,
79,SHOW TIME,,,,,,,,,,,,,,,,,,,,,,,,
80,City Escape: Act1,索1,,,,,,,,,,,,,,,,,,,,,,,
81,Rooftop Run: Act1,逃离屋顶,索2,蓝猫,,,,,,,,,,,,,,,,,,,,,
82,Reach For The Stars,追星,索3,,,,,,,,,,,,,,,,,,,,,,
83,Urban Crusher [Remix],机器人,,,,,,,,,,,,,,,,,,,,,,,
84,Catch The Future,抓住未来,,,,,,,,,,,,,,,,,,,,,,,
85,JACKY [Remix],,,,,,,,,,,,,,,,,,,,,,,,
100,Tell Your World,TYW,难忘今宵,,,,,,,,,,,,,,,,,,,,,,
101,おちゃめ機能,天真烂漫机能,机能,五月病,,,,,,,,,,,,,,,,,,,,,
102,ダンシング☆サムライ,茄子先生,跳舞武士,茄子,,,,,,,,,,,,,,,,,,,,,
106,BAD∞END∞NIGHT,坏结夜,BEN,,,,,,,,,,,,,,,,,,,,,,
107,ロミオとシンデレラ,罗密欧,灰姑娘,罗密欧与辛德瑞拉,罗与灰,罗密欧与灰姑娘,口三才,,,,,,,,,,,,,,,,,,
108,Sweetiex2,,,,,,,,,,,,,,,,,,,,,,,,
